1	CL API: Real-Time Closed-Loop Interactions with Biological Neural Networks	https://doi.org/10.48550/arXiv.2602.11632
2	A novel protocol for the efficient generation of all three major hippocampal neuronal sub-populations from human pluripotent stem cells	https://doi.org/10.64898/2026.01.21.700748
3	A Quantifiable Information-Processing Hierarchy Provides a Necessary Condition for Detecting Agency	https://doi.org/10.48550/arXiv.2601.03498
4	A Computational Perspective on NeuroAI and Synthetic Biological Intelligence	https://doi.org/10.48550/arXiv.2509.23896
5	Why AI Progress Will Necessitate Harnessing Synthetic Biology to Leverage the Ground Truth of Intelligence	https://link.springer.com/chapter/10.1007/978-3-031-93623-4_12
6	Two roads diverged: Pathways toward harnessing intelligence in neural cell cultures	https://www.cell.com/cell-biomaterials/fulltext/S3050-5623(25)00147-3
7	Dynamic Network Plasticity and Sample Efficiency in Biological Neural Cultures: A Comparative Study with Deep Reinforcement Learning	https://pmc.ncbi.nlm.nih.gov/articles/PMC12320521/
8	The CL1 as a platform technology to leverage biological neural system functions	https://www.nature.com/articles/s44222-025-00340-3
9	In vitro neurons learn and exhibit sentience when embodied in a simulated gameworld	https://doi.org/10.1016/j.neuron.2022.09.001
10	Critical dynamics arise during structured information presentation within embodied in vitro neuronal networks	https://doi.org/10.1038/s41467-023-41020-3
11	Drug treatment alters performance in a neural microphysiological system of information processing	https://doi.org/10.1038/s42003-025-08194-6
12	Harnessing Intelligence from Brain Cells In Vitro	https://doi.org/10.1177/10738584251321438
13	Organoid intelligence (OI): the new frontier in biocomputing and intelligence-in-a-dish	https://doi.org/10.3389/fsci.2023.1017235
14	The technology, opportunities, and challenges of Synthetic Biological Intelligence	https://doi.org/10.1016/j.biotechadv.2023.108233
15	Biological Neurons Compete with Deep Reinforcement Learning in Sample Efficiency in a Simulated Gameworld	https://doi.org/10.48550/arXiv.2405.16946
16	Toward a nomenclature consensus for diverse intelligent systems: Call for collaboration	https://doi.org/10.1016/j.xinn.2024.100658
17	Starting a synthetic biological intelligence lab from scratch	https://doi.org/10.1016/j.patter.2025.101232
18	Embodied Neural Systems Can Enable Iterative Investigations of Morally Relevant States	https://doi.org/10.1523/JNEUROSCI.0431-24.2024
19	Human Neural Organoid Microphysiological Systems Show the Building Blocks Necessary for Basic Learning and Memory	https://doi.org/10.1101/2024.09.17.613333
20	Neurons Embodied in a Virtual World: Evidence for Organoid Ethics?	https://doi.org/10.1080/21507740.2022.2048731
21	Active Inference and Intentional Behavior	https://doi.org/10.1162/neco_a_01738
22	Intersection between the biological and digital: synthetic biological intelligence and organoid intelligence	https://doi.org/10.3389/fncel.2024.1542629
